Symbol,Description,Industry,Sector
A,"AGILENT TECHNOLOGIES, INC.",Biotechnology: Laboratory Analytical Instruments,Capital Goods
AA,ALCOA CORPORATION,Aluminum,Basic Industries
AAL,"AMERICAN AIRLINES GROUP, INC.",Air Freight/Delivery Services,Transportation
AAN,"AARON'S, INC.",Diversified Commercial Services,Technology
AAOI,"APPLIED OPTOELECTRONICS, INC.",Semiconductors,Technology
AAON,"AAON, INC.",Industrial Machinery/Components,Capital Goods
AAP,ADVANCE AUTO PARTS INC,Other Specialty Stores,Consumer Services
AAPL,APPLE INC.,Computer Manufacturing,Technology
AAT,"AMERICAN ASSETS TRUST, INC.",Real Estate Investment Trusts,Consumer Services
AAWW,ATLAS AIR WORLDWIDE HOLDINGS,Transportation Services,Transportation
AAXN,"AXON ENTERPRISE, INC.",Ordnance And Accessories,Capital Goods
ABBV,ABBVIE INC.,Major Pharmaceuticals,Health Care
ABC,AMERISOURCEBERGEN CORPORATION (HOLDING CO),Other Pharmaceuticals,Health Care
ABCB,AMERIS BANCORP,Major Banks,Finance
ABEO,ABEONA THERAPEUTICS INC.,Major Pharmaceuticals,Health Care
ABG,ASBURY AUTOMOTIVE GROUP INC,Automotive Aftermarket,Consumer Durables
ABM,ABM INDUSTRIES INCORPORATED,Diversified Commercial Services,Finance
ABMD,"ABIOMED, INC.",Medical/Dental Instruments,Health Care
ABR,ARBOR REALTY TRUST,Real Estate Investment Trusts,Consumer Services
ABT,ABBOTT LABORATORIES,Major Pharmaceuticals,Health Care
ABTX,"ALLEGIANCE BANCSHARES, INC.",Major Banks,Finance
AC,"ASSOCIATED CAPITAL GROUP, INC.",Investment Bankers/Brokers/Service,Finance
ACAD,ACADIA PHARMACEUTICALS INC.,Major Pharmaceuticals,Health Care
ACBI,"ATLANTIC CAPITAL BANCSHARES, INC.",Major Banks,Finance
ACC,AMERICAN CAMPUS COMMUNITIES INC,Real Estate Investment Trusts,Consumer Services
ACCO,ACCO BRANDS CORPORATION,Publishing,Consumer Durables
ACET,,,
ACGL,ARCH CAPITAL GROUP LTD.,Property-Casualty Insurers,Finance
ACHC,"ACADIA HEALTHCARE COMPANY, INC.",Medical Specialities,Health Care
ACI,"ALBERTSONS COMPANIES, INC.",Food Chains,Consumer Services
ACIA,"ACACIA COMMUNICATIONS, INC.",Semiconductors,Technology
ACIW,"ACI WORLDWIDE, INC.",Computer Software: Prepackaged Software,Technology
ACLS,"AXCELIS TECHNOLOGIES, INC.",Industrial Machinery/Components,Technology
ACM,AECOM,Military/Government/Technical,Consumer Services
ACN,ACCENTURE PLC,Business Services,Miscellaneous
ACNB,ACNB CORPORATION,Major Banks,Finance
ACOR,"ACORDA THERAPEUTICS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
ACRE,ARES COMMERCIAL REAL ESTATE CORPORATION,Real Estate Investment Trusts,Consumer Services
ACRS,"ACLARIS THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
ACRX,"ACELRX PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
ACT,ADVISORSHARES VICE ETF,,
ACTG,ACACIA RESEARCH CORPORATION,Multi-Sector Companies,Miscellaneous
ACV,ALLIANZGI DIVERSIFIED INCOME & CONVERTIBLE FUND,,
ADBE,ADOBE INC.,Computer Software: Prepackaged Software,Technology
ADC,AGREE REALTY CORPORATION,Real Estate Investment Trusts,Consumer Services
ADCT,ADC THERAPEUTICS SA,Major Pharmaceuticals,Health Care
ADES,"ADVANCED EMISSIONS SOLUTIONS, INC.",Major Chemicals,Basic Industries
ADI,"ANALOG DEVICES, INC.",Semiconductors,Technology
ADM,ARCHER-DANIELS-MIDLAND COMPANY,Packaged Foods,Consumer Non-Durables
ADMS,"ADAMAS PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
ADNT,ADIENT PLC,Auto Parts:O.E.M.,Capital Goods
ADP,"AUTOMATIC DATA PROCESSING, INC.",EDP Services,Technology
ADPT,ADAPTIVE BIOTECHNOLOGIES CORPORATION,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
ADRO,"ADURO BIOTECH, INC.",Major Pharmaceuticals,Health Care
ADS,ALLIANCE DATA SYSTEMS CORPORATION,Business Services,Miscellaneous
ADSK,"AUTODESK, INC.",Computer Software: Prepackaged Software,Technology
ADSW,"ADVANCED DISPOSAL SERVICES, INC.",Environmental Services,Public Utilities
ADT,ADT INC.,Diversified Commercial Services,Consumer Services
ADTN,"ADTRAN, INC.",Telecommunications Equipment,Public Utilities
ADUS,ADDUS HOMECARE CORPORATION,Medical/Nursing Services,Health Care
ADXS,"ADVAXIS, INC.",Major Pharmaceuticals,Health Care
AE,"ADAMS RESOURCES & ENERGY, INC.",Oil Refining/Marketing,Energy
AEE,AMEREN CORPORATION,Power Generation,Public Utilities
AEGN,AEGION CORP,Water Supply,Basic Industries
AEIS,"ADVANCED ENERGY INDUSTRIES, INC.",Industrial Machinery/Components,Capital Goods
AEL,AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY,Life Insurance,Finance
AEO,"AMERICAN EAGLE OUTFITTERS, INC.",Clothing/Shoe/Accessory Stores,Consumer Services
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Electric Utilities: Central,Public Utilities
AERI,"AERIE PHARMACEUTICALS, INC.",Biotechnology: Biological Products (No Diagnostic Substances),Health Care
AES,THE AES CORPORATION,Electric Utilities: Central,Basic Industries
AFG,"AMERICAN FINANCIAL GROUP, INC.",Property-Casualty Insurers,Finance
AFH,,,
AFI,"ARMSTRONG FLOORING, INC.",Plastic Products,Consumer Non-Durables
AFL,AFLAC INCORPORATED,Accident &Health Insurance,Finance
AG,FIRST MAJESTIC SILVER CORP.,Precious Metals,Basic Industries
AGCO,AGCO CORPORATION,Industrial Machinery/Components,Capital Goods
AGEN,AGENUS INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
AGFS,"AGROFRESH SOLUTIONS, INC.",Business Services,Finance
AGIO,"AGIOS PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
AGM,FEDERAL AGRICULTURAL MORTGAGE CORPORATION,Finance Companies,Finance
AGNC,AGNC INVESTMENT CORP.,Real Estate Investment Trusts,Consumer Services
AGO,ASSURED GUARANTY LTD.,Property-Casualty Insurers,Finance
AGR,"AVANGRID, INC.",Electric Utilities: Central,Public Utilities
AGX,"ARGAN, INC.",Engineering & Construction,Basic Industries
AGYS,"AGILYSYS, INC.",EDP Services,Technology
AHC,A.H. BELO CORPORATION,Newspapers/Magazines,Consumer Services
AHH,"ARMADA HOFFLER PROPERTIES, INC.",Real Estate,Finance
AHT,ASHFORD HOSPITALITY TRUST INC,Real Estate Investment Trusts,Consumer Services
AI,ARLINGTON ASSET INVESTMENT CORP,Real Estate Investment Trusts,Consumer Services
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Property-Casualty Insurers,Finance
AIMC,ALTRA INDUSTRIAL MOTION CORP.,Industrial Machinery/Components,Capital Goods
AIMT,"AIMMUNE THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
AIN,ALBANY INTERNATIONAL CORPORATION,Textiles,Basic Industries
AINV,APOLLO INVESTMENT CORPORATION,,
AIQ,GLOBAL X ARTIFICIAL INTELLIGENCE & TECHNOLOGY ETF,,
AIR,AAR CORP.,Aerospace,Capital Goods
AIT,"APPLIED INDUSTRIAL TECHNOLOGIES, INC.",Industrial Specialties,Consumer Durables
AIV,APARTMENT INVESTMENT AND MANAGEMENT COMPANY,Real Estate Investment Trusts,Consumer Services
AIZ,"ASSURANT, INC.",Property-Casualty Insurers,Finance
AJG,ARTHUR J. GALLAGHER & CO.,Specialty Insurers,Finance
AJRD,"AEROJET ROCKETDYNE HOLDINGS, INC.",Military/Government/Technical,Capital Goods
AJX,GREAT AJAX CORP.,Real Estate Investment Trusts,Consumer Services
AKAM,"AKAMAI TECHNOLOGIES, INC.",Business Services,Miscellaneous
AKBA,"AKEBIA THERAPEUTICS, INC.",Major Pharmaceuticals,Health Care
AKR,ACADIA REALTY TRUST,Real Estate Investment Trusts,Consumer Services
AKTS,"AKOUSTIS TECHNOLOGIES, INC.",Telecommunications Equipment,Public Utilities
AL,AIR LEASE CORPORATION,Diversified Commercial Services,Technology
ALB,ALBEMARLE CORPORATION,Major Chemicals,Basic Industries
ALC,ALCON INC.,Ophthalmic Goods,Health Care
ALCO,"ALICO, INC.",Farming/Seeds/Milling,Consumer Non-Durables
ALE,"ALLETE, INC.",Power Generation,Public Utilities
ALEX,"ALEXANDER & BALDWIN, INC.",Real Estate Investment Trusts,Consumer Services
ALG,"ALAMO GROUP, INC.",Industrial Machinery/Components,Capital Goods
ALGN,"ALIGN TECHNOLOGY, INC.",Industrial Specialties,Health Care
ALGT,ALLEGIANT TRAVEL COMPANY,Air Freight/Delivery Services,Transportation
ALIM,"ALIMERA SCIENCES, INC.",Major Pharmaceuticals,Health Care
ALK,"ALASKA AIR GROUP, INC.",Air Freight/Delivery Services,Transportation
ALKS,ALKERMES PLC,Major Pharmaceuticals,Health Care
ALL,ALLSTATE CORPORATION (THE),Property-Casualty Insurers,Finance
ALLE,ALLEGION PLC,Diversified Commercial Services,Consumer Services
ALLY,ALLY FINANCIAL INC.,Major Banks,Finance
ALNY,"ALNYLAM PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
ALRM,"ALARM.COM HOLDINGS, INC.",Computer Software: Prepackaged Software,Technology
ALSK,"ALASKA COMMUNICATIONS SYSTEMS GROUP, INC.",Telecommunications Equipment,Public Utilities
ALSN,"ALLISON TRANSMISSION HOLDINGS, INC.",Auto Parts:O.E.M.,Capital Goods
ALTR,ALTAIR ENGINEERING INC.,Computer Software: Prepackaged Software,Technology
ALV,"AUTOLIV, INC.",Auto Parts:O.E.M.,Capital Goods
ALX,"ALEXANDER'S, INC.",Real Estate Investment Trusts,Consumer Services
ALXN,"ALEXION PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
AM,ANTERO MIDSTREAM CORPORATION,Natural Gas Distribution,Public Utilities
AMAG,"AMAG PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
AMAT,"APPLIED MATERIALS, INC.",Semiconductors,Technology
AMBA,"AMBARELLA, INC.",Semiconductors,Technology
AMBC,"AMBAC FINANCIAL GROUP, INC.",Property-Casualty Insurers,Finance
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",Movies/Entertainment,Consumer Services
AMCX,AMC NETWORKS INC.,Television Services,Consumer Services
AMD,"ADVANCED MICRO DEVICES, INC.",Semiconductors,Technology
AME,"AMTEK, INC.",Metal Fabrications,Consumer Durables
AMED,AMEDISYS INC,Medical/Nursing Services,Health Care
AMG,"AFFILIATED MANAGERS GROUP, INC.",Investment Managers,Finance
AMGN,AMGEN INC.,Biotechnology: Biological Products (No Diagnostic Substances),Health Care
AMH,AMERICAN HOMES 4 RENT,Real Estate Investment Trusts,Consumer Services
AMKR,"AMKOR TECHNOLOGY, INC.",Semiconductors,Technology
AMN,AMN HEALTHCARE SERVICES INC,Professional Services,Technology
AMNB,"AMERICAN NATIONAL BANKSHARES, INC.",Major Banks,Finance
AMOT,"ALLIED MOTION TECHNOLOGIES, INC.",Electrical Products,Capital Goods
AMP,"AMERIPRISE FINANCIAL SERVICES, LLC",Investment Managers,Finance
AMPE,"AMPIO PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
AMPH,"AMPHASTAR PHARMACEUTICALS, INC.",Major Pharmaceuticals,Health Care
AMRC,"AMERESCO, INC.",Engineering & Construction,Basic Industries
AMRS,"AMYRIS, INC.",Major Chemicals,Basic Industries
AMSC,AMERICAN SUPERCONDUCTOR CORPORATION,Metal Fabrications,Consumer Durables
AMSF,"AMERISAFE, INC.",Property-Casualty Insurers,Finance
AMSWA,"AMERICAN SOFTWARE, INC.",Computer Software: Prepackaged Software,Technology
AMT,AMERICAN TOWER CORPORATION (REIT),Real Estate Investment Trusts,Consumer Services
AMTD,TD AMERITRADE HOLDING CORPORATION,Investment Bankers/Brokers/Service,Finance
AMWD,AMERICAN WOODMARK CORPORATION,Forest Products,Basic Industries
AMZN,"AMAZON.COM, INC.",Catalog/Specialty Distribution,Consumer Services
AN,"AUTONATION, INC.",Automotive Aftermarket,Consumer Durables
ANAB,"ANAPTYSBIO, INC.",Major Pharmaceuticals,Health Care
ANAT,"AMERICAN NATIONAL GROUP, INC.",Life Insurance,Finance
ANDE,"THE ANDERSONS, INC.",Farming/Seeds/Milling,Consumer Services
ANET,"ARISTA NETWORKS, INC.",Computer Communications Equipment,Technology
ANF,ABERCROMBIE & FITCH COMPANY,Clothing/Shoe/Accessory Stores,Consumer Services
ANGI,ANGI HOMESERVICES INC.,Advertising,Consumer Services
ANGO,"ANGIODYNAMICS, INC.",Medical/Dental Instruments,Health Care
ANH,ANWORTH MORTGAGE ASSET CORPORATION,Real Estate Investment Trusts,Consumer Services
ANIK,ANIKA THERAPEUTICS INC.,Medical/Dental Instruments,Health Care
